date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:01:40	250295/250295	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Jun%202025%2014:32:10%20GMT	https://www.codec.ie/	C:/Users/Administrator/Downloads/codec.ie/www.codec.ie/index.html	(from )
00:01:40	154/154	---MCZ	200	added ('OK')	text/plain	etag:W/%22e11f7e1d3ebd64c260af1e63b4b63e07%22	https://www.codec.ie/robots.txt		(from )
00:01:41	1864/1864	---M--	200	added ('OK')	image/png	etag:%220c6094c3ebe14dd6c12e75adccb42def%22	https://www.codec.ie/hubfs/Codec%20-%20New%20Website%20(2022)/Codec%20-%20Website%20Assets/New%20Logos/codec-medium-fav.png	C:/Users/Administrator/Downloads/codec.ie/www.codec.ie/hubfs/Codec%20-%20New%20Website%20(2022)/Codec%20-%20Website%20Assets/New%20Logos/codec-medium-fav.png	(from https://www.codec.ie/)
00:01:41	612/612	---MCZ	200	added ('OK')	text/css	etag:W/%22c708989561e0cdbfcf996d1b7f47482c%22	https://7052064.fs1.hubspotusercontent-na1.net/hubfs/7052064/hub_generated/module_assets/1/-2712622/1749820792777/module_search_input.min.css	C:/Users/Administrator/Downloads/codec.ie/7052064.fs1.hubspotusercontent-na1.net/hubfs/7052064/hub_generated/module_assets/1/-2712622/1749820792777/module_search_input.min.css	(from https://www.codec.ie/)
00:01:42	53/53	---MCZ	200	added ('OK')	text/css	etag:W/%22a501410ab9544f32cf2675b4323729e7%22	https://www.codec.ie/hs-fs/hubfs/hub_generated/module_assets/1/81411392289/1743875086900/module_CD_-_SVG_graph_logo_image.min.css	C:/Users/Administrator/Downloads/codec.ie/www.codec.ie/hs-fs/hubfs/hub_generated/module_assets/1/81411392289/1743875086900/module_CD_-_SVG_graph_logo_image.min.css	(from https://www.codec.ie/)
00:01:43	15145/15145	---MCZ	200	added ('OK')	text/css	etag:W/%223b07f955f0f9bd8f3ab9b8a70d30099f%22	https://www.codec.ie/hs-fs/hubfs/hub_generated/module_assets/1/75700353160/1741941366028/module_CD_-_Burger_Menu.min.css	C:/Users/Administrator/Downloads/codec.ie/www.codec.ie/hs-fs/hubfs/hub_generated/module_assets/1/75700353160/1741941366028/module_CD_-_Burger_Menu.min.css	(from https://www.codec.ie/)
00:01:44	674/674	---MCZ	200	added ('OK')	text/css	etag:W/%223b677eacb0606d6ef0b479ca81d75481%22	https://www.codec.ie/hs-fs/hubfs/hub_generated/module_assets/1/76264565306/1743875022566/module_CD_-_Scroll_Down_Button.min.css	C:/Users/Administrator/Downloads/codec.ie/www.codec.ie/hs-fs/hubfs/hub_generated/module_assets/1/76264565306/1743875022566/module_CD_-_Scroll_Down_Button.min.css	(from https://www.codec.ie/)
00:01:45	2973/2973	---MCZ	200	added ('OK')	text/css	etag:W/%224d7773bf103e8b9f7b904cad50d90690%22	https://www.codec.ie/hs-fs/hubfs/hub_generated/template_assets/1/75700354439/1744817401909/template_jquery_bxslider_min.min.css	C:/Users/Administrator/Downloads/codec.ie/www.codec.ie/hs-fs/hubfs/hub_generated/template_assets/1/75700354439/1744817401909/template_jquery_bxslider_min.min.css	(from https://www.codec.ie/)
00:01:46	3144/3144	---MCZ	200	added ('OK')	text/css	etag:W/%22490e2dc27d774ab306948fa3c5c6e08b%22	https://www.codec.ie/hs-fs/hubfs/hub_generated/template_assets/1/75701054629/1744817466150/template_owl_carousel_min.min.css	C:/Users/Administrator/Downloads/codec.ie/www.codec.ie/hs-fs/hubfs/hub_generated/template_assets/1/75701054629/1744817466150/template_owl_carousel_min.min.css	(from https://www.codec.ie/)
00:01:46	3472/3472	---MCZ	200	added ('OK')	text/css	etag:W/%22b408822ac62644886fede3e91ba4bb2b%22	https://www.codec.ie/hs-fs/hubfs/hub_generated/module_assets/1/75700164680/1743874996973/module_CD_-_Flexible_Slider.min.css	C:/Users/Administrator/Downloads/codec.ie/www.codec.ie/hs-fs/hubfs/hub_generated/module_assets/1/75700164680/1743874996973/module_CD_-_Flexible_Slider.min.css	(from https://www.codec.ie/)
